name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
FH Edwards,2003-2009,50.0,22,14,73,13,9.12,160,45.62,0,0,2,WI
CK Langeveldt,2001-2010,72.0,21,10,73,12,6.63,124,58.87,0,0,1,SA
KV Morea,2021-2023,17.0,13,6,73,17,10.42,118,61.86,0,0,1,PNG
R Telemachus,1998-2006,37.0,15,3,73,29,6.08,94,77.65,0,0,2,SA
Waheed Ahmed,2019-2021,7.0,6,1,73,23,14.6,129,56.58,0,0,1,UAE
DS Weerakkody,2017-2017,3.0,3,0,73,58,24.33,66,110.6,0,1,0,SL
G Blakeney,2009-2009,2.0,2,0,72,42,36.0,69,104.34,0,0,0,BER
IP Butchart,1992-1995,8.0,5,0,72,33,14.4,104,69.23,0,0,0,ZIM
BA Murphy,2000-2003,31.0,17,8,72,20,8.0,130,55.38,0,0,1,ZIM
TK Patel,2019-2020,7.0,7,3,72,50,18.0,149,48.32,0,1,0,USA
OL Pitcher,2007-2007,5.0,5,0,72,30,14.4,217,33.17,0,0,1,BER
SE Rutherford,2023-2023,3.0,3,0,72,63,24.0,92,78.26,0,1,0,WI
P Sarraf,2019-2024,12.0,10,1,72,15,8.0,116,62.06,0,0,2,NEP
I Sharma,2007-2016,80.0,28,13,72,13,4.8,203,35.46,0,0,5,IND
C Tear,2024-2024,2.0,2,1,72,54,72.0,104,69.23,0,1,0,SCOT
TP Visee,2019-2021,3.0,3,0,72,41,24.0,66,109.09,0,0,0,NED
CJ Adams,1998-2000,5.0,4,0,71,42,17.75,144,49.3,0,0,0,ENG
DI Allan,2011-2013,5.0,5,0,71,27,14.2,153,46.4,0,0,0,KENYA
CB Sole,2016-2023,30.0,14,3,71,17,6.45,90,78.88,0,0,0,SCOT
Mohammad Aadil Alam,2022-2022,6.0,5,1,70,36,17.5,77,90.9,0,0,0,NEP
KED Carroll,2007-2007,6.0,6,0,70,28,11.66,126,55.55,0,0,1,IRE
G Motie,2022-2024,13.0,9,3,70,39,11.66,99,70.7,0,0,1,WI
Sharafuddin Ashraf,2014-2024,20.0,12,4,70,21,8.75,109,64.22,0,0,2,AFG
Shuvagata Hom,2011-2011,4.0,3,1,70,35,35.0,86,81.39,0,0,0,BAN
RD Steede,2006-2008,8.0,7,1,70,20,11.66,142,49.29,0,0,0,BER
SR Clark,2005-2009,39.0,12,7,69,16,13.8,88,78.4,0,0,1,AUS
AC Dawson,1998-2004,19.0,7,4,69,23,23.0,67,102.98,0,0,0,SA
FS Crockwell,2009-2009,2.0,2,0,68,45,34.0,104,65.38,0,0,0,BER
TGJ Gruijters,2010-2013,5.0,4,1,68,32,22.66,116,58.62,0,0,0,NED
OJ Hairs,2010-2010,5.0,5,0,68,27,13.6,100,68.0,0,0,0,SCOT
Haris Rauf,2020-2023,37.0,15,7,68,35,8.5,90,75.55,0,0,1,PAK
RK Illingworth,1991-1996,25.0,11,5,68,14,11.33,119,57.14,0,0,0,ENG
Junaid Khan,2011-2019,76.0,31,17,68,25,4.85,127,53.54,0,0,6,PAK
FJ Klaassen,2018-2023,19.0,15,7,68,13,8.5,116,58.62,0,0,3,NED
SO Ngoche,2010-2014,14.0,12,3,68,28,7.55,119,57.14,0,0,4,KENYA
C Overton,2018-2022,7.0,5,2,68,32,22.66,76,89.47,0,0,1,ENG
M Sheikh,1997-2000,21.0,15,5,68,15,6.8,123,55.28,0,0,2,KENYA
NT Tilak Varma,2023-2023,4.0,4,1,68,52,22.66,119,57.14,0,1,0,IND
SJ Cook,1991-1993,4.0,4,0,67,35,16.75,118,56.77,0,0,1,SA
SG Davies,1996-1996,4.0,4,0,67,45,16.75,173,38.72,0,0,0,ZIM
Junaid Siddiqui,2011-2014,9.0,8,3,67,25,13.4,144,46.52,0,0,1,CAN
N Madziva,2014-2016,12.0,12,3,67,25,7.44,138,48.55,0,0,2,ZIM
HJC Mol,2002-2008,11.0,9,1,67,23,8.37,183,36.61,0,0,2,NED
Nadeem Ahmed,2004-2018,25.0,16,4,67,14,5.58,151,44.37,0,0,1,HKG
Shapoor Zadran,2009-2019,44.0,27,17,67,17,6.7,160,41.87,0,0,4,AFG
Waqas Khan,2015-2017,8.0,5,1,67,35,16.75,137,48.9,0,0,0,HKG
PR Adams,1996-2003,24.0,9,5,66,33,16.5,124,53.22,0,0,2,SA
Akhtar Sarfraz,1997-1998,4.0,4,0,66,25,16.5,99,66.66,0,0,0,PAK
S Vesawkar,2018-2021,4.0,4,1,66,55,22.0,151,43.7,0,1,0,NEP
OO Bascome,2008-2008,6.0,6,0,65,20,10.83,145,44.82,0,0,0,BER
KCG Benjamin,1992-1996,26.0,13,7,65,17,10.83,80,81.25,0,0,1,WI
NRJ Croes,2023-2024,5.0,3,1,65,46,32.5,86,75.58,0,0,0,NED
RD King,1998-2005,50.0,23,14,65,12,7.22,203,32.01,0,0,5,WI
RG Petrie,1990-1991,12.0,8,3,65,21,13.0,109,59.63,0,0,1,NZ
JR Philippe,2021-2021,3.0,3,0,65,39,21.66,89,73.03,0,0,0,AUS
Saeed Azad,1995-1996,4.0,4,0,65,31,16.25,131,49.61,0,0,0,PAK
H Osinde,2006-2013,42.0,28,13,64,21,4.26,130,49.23,0,0,7,CAN
PADLR Sandakan,2016-2021,31.0,19,7,64,16,5.33,140,45.71,0,0,4,SL
KF Semple,1999-1999,7.0,6,0,64,23,10.66,165,38.78,0,0,0,WI
AAP Atkinson,2023-2023,9.0,6,2,63,35,15.75,50,126.0,0,0,1,ENG
LA Dawson,2016-2022,6.0,5,0,63,20,12.6,74,85.13,0,0,0,ENG
NT Ellis,2022-2023,8.0,7,4,63,18,21.0,58,108.62,0,0,0,AUS
MG Hughes,1990-1993,18.0,9,5,63,20,15.75,66,95.45,0,0,1,AUS
RO Hussain,2006-2010,8.0,8,1,63,17,9.0,143,44.05,0,0,0,SCOT
PD McGlashan,2009-2009,4.0,2,1,63,56,63.0,51,123.52,0,1,0,NZ
N Pokana,2017-2022,21.0,15,6,63,11,7.0,159,39.62,0,0,2,PNG
MQ Sheikh,2008-2010,7.0,7,1,63,23,10.5,140,45.0,0,0,0,SCOT
Adnan Akmal,2011-2012,5.0,4,1,62,27,20.66,89,69.66,0,0,0,PAK
CE Cuffy,1994-2002,41.0,22,8,62,17,4.42,125,49.6,0,0,5,WI
JB Reva,2016-2018,9.0,7,1,62,36,10.33,83,74.69,0,0,1,PNG
Azhar Saeed,1994-1996,7.0,7,0,61,32,8.71,195,31.28,0,0,1,UAE
Dolar Mahmud,2008-2009,7.0,4,0,61,41,15.25,44,138.63,0,0,2,BAN
MN Hart,1994-2002,13.0,8,0,61,16,7.62,101,60.39,0,0,1,NZ
CBRLS Kumara,2017-2024,31.0,18,7,61,10,5.54,130,46.92,0,0,1,SL
EO Odumbe,1996-1996,8.0,7,1,61,20,10.16,150,40.66,0,0,0,KENYA
Shakeel Ahmed jnr,1995-1995,2.0,2,0,61,36,30.5,128,47.65,0,0,0,PAK
GC Small,1990-1992,22.0,11,2,61,18,6.77,132,46.21,0,0,4,ENG
L Sreekumar,2015-2016,4.0,4,0,61,28,15.25,73,83.56,0,0,0,UAE
ELR Stewart,1993-2002,6.0,6,2,61,23,15.25,116,52.58,0,0,0,SA
DS Wesonga,2010-2011,4.0,4,1,61,33,20.33,108,56.48,0,0,0,KENYA
RM West,2008-2009,10.0,4,2,61,29,30.5,41,148.78,0,0,1,IRE
GE Bradburn,1990-2001,11.0,10,3,60,30,8.57,130,46.15,0,0,1,NZ
JJ Celestine,2007-2008,8.0,8,0,60,20,7.5,135,44.44,0,0,1,BER
Humayun Farhat,2001-2001,5.0,3,0,60,39,20.0,56,107.14,0,0,0,PAK
NC McGarrell,1998-2001,17.0,10,2,60,19,7.5,98,61.22,0,0,2,WI
Abdul Jabbar,2007-2007,2.0,2,0,59,44,29.5,82,71.95,0,0,0,CAN
WD Balaji Rao,2008-2011,10.0,8,0,59,24,7.37,89,66.29,0,0,0,CAN
MBS Jonkman,2006-2010,16.0,9,4,59,16,11.8,79,74.68,0,0,1,NED
Manzoor Elahi,1990-1995,8.0,5,2,59,21,19.66,92,64.13,0,0,0,PAK
MA Parker,2010-2010,10.0,8,2,59,22,9.83,104,56.73,0,0,0,SCOT
EAR de Silva,1990-1992,12.0,9,2,58,16,8.28,109,53.21,0,0,1,SL
Imran Haider,2017-2019,20.0,14,7,58,18,8.28,136,42.64,0,0,3,UAE
TMK Mawoyo,2006-2014,7.0,7,0,58,15,8.28,160,36.25,0,0,1,ZIM
D Murphy,2013-2013,8.0,7,2,58,20,11.6,118,49.15,0,0,0,SCOT
Saqlain Haider,2014-2016,5.0,4,0,58,28,14.5,77,75.32,0,0,0,UAE
M van Schoor,2003-2003,5.0,5,1,58,24,14.5,111,52.25,0,0,0,NAM
Aamer Malik,1990-1994,3.0,3,0,57,23,19.0,121,47.1,0,0,0,PAK
G Coetzee,2023-2023,14.0,7,0,57,22,8.14,90,63.33,0,0,1,SA
Ehsanul Haque,2002-2003,6.0,6,0,57,20,9.5,129,44.18,0,0,1,BAN
CB Mpofu,2004-2020,84.0,41,21,57,9,2.85,210,27.14,0,0,7,ZIM
G Salmond,1999-1999,5.0,5,0,57,31,11.4,109,52.29,0,0,0,SCOT
M Shumba,2021-2024,10.0,9,2,57,26,8.14,117,48.71,0,0,1,ZIM
AJ Tye,2018-2018,7.0,7,3,57,19,14.25,48,118.75,0,0,0,AUS
RS Haire,2008-2008,2.0,2,0,56,54,28.0,72,77.77,0,1,0,IRE
S Jora,2019-2023,5.0,5,0,56,28,11.2,67,83.58,0,0,0,NEP
NM Odhiambo,2010-2013,8.0,6,0,56,29,9.33,121,46.28,0,0,0,KENYA
LL Tsotsobe,2009-2013,61.0,21,13,56,16,7.0,109,51.37,0,0,3,SA
Zubayr Hamza,2021-2021,1.0,1,0,56,56,56.0,79,70.88,0,1,0,SA
MW Douglas,1994-1995,6.0,6,0,55,30,9.16,123,44.71,0,0,1,NZ
J Figy,2019-2020,2.0,2,1,55,32,55.0,73,75.34,0,0,0,UAE
TV Mufambisi,2006-2007,6.0,6,0,55,21,9.16,90,61.11,0,0,0,ZIM
SJ Palframan,1996-1996,7.0,4,0,55,28,13.75,80,68.75,0,0,0,SA
EC Rainsford,2004-2010,39.0,23,13,55,9,5.5,134,41.04,0,0,2,ZIM
RK Singh,2023-2023,2.0,2,0,55,38,27.5,41,134.14,0,0,0,IND
Abdul Shakoor,2015-2018,3.0,3,0,54,24,18.0,102,52.94,0,0,0,UAE
Arshad Ali,2004-2008,4.0,4,0,54,41,13.5,102,52.94,0,0,1,UAE
RJ Campbell,2002-2002,2.0,2,0,54,38,27.0,70,77.14,0,0,0,AUS
JJ Crowe,1990-1990,2.0,2,0,54,28,27.0,137,39.41,0,0,0,NZ
RWT Key,2003-2004,5.0,5,0,54,19,10.8,135,40.0,0,0,1,ENG
Mohammad Iqbal,2007-2008,5.0,5,0,54,30,10.8,80,67.5,0,0,1,CAN
JV Paranjpe,1998-1998,4.0,4,1,54,27,18.0,91,59.34,0,0,0,IND
Rishad Hossain,2023-2024,3.0,2,1,54,48,54.0,22,245.45,0,0,0,BAN
RG Samuels,1996-1997,8.0,5,2,54,36,18.0,63,85.71,0,0,0,WI
T van der Gugten,2012-2021,8.0,4,0,54,49,13.5,67,80.59,0,0,0,NED
BCJ Cutting,2013-2014,4.0,2,0,53,27,26.5,67,79.1,0,0,0,AUS
DDP D'Silva,2019-2020,6.0,5,1,53,31,13.25,119,44.53,0,0,0,UAE
Ghulam Ali,1993-1995,3.0,3,0,53,38,17.66,121,43.8,0,0,0,PAK
Mafizur Rahman,1997-1997,4.0,4,1,53,16,17.66,104,50.96,0,0,0,BAN
Manjural Islam,1999-2003,34.0,22,13,53,13,5.88,134,39.55,0,0,4,BAN
Mohammad Sharif,2001-2007,9.0,9,5,53,13,13.25,102,51.96,0,0,1,BAN
RAP Nissanka,2001-2003,23.0,13,5,53,11,6.62,140,37.85,0,0,2,SL
AJ Traicos,1992-1993,15.0,10,7,53,16,17.66,120,44.16,0,0,0,ZIM
CAK Walton,2009-2017,9.0,8,0,53,19,6.62,86,61.62,0,0,4,WI
JE Brinkley,1999-1999,5.0,5,0,52,23,10.4,118,44.06,0,0,1,SCOT
TK Canning,2003-2005,4.0,4,1,52,23,17.33,73,71.23,0,0,1,NZ
AK Perera,2013-2019,6.0,4,0,52,31,13.0,83,62.65,0,0,0,SL
MW Short,2023-2024,4.0,3,0,52,41,17.33,67,77.61,0,0,0,AUS
D Dasgupta,2001-2001,5.0,4,1,51,24,17.0,82,62.19,0,0,1,IND
J Fraser-McGurk,2024-2024,2.0,2,0,51,41,25.5,23,221.73,0,0,0,AUS
A Mithun,2010-2011,5.0,3,0,51,24,17.0,55,92.72,0,0,0,IND
CA Pujara,2013-2014,5.0,5,0,51,27,10.2,130,39.23,0,0,2,IND
RA Reifer,2019-2023,6.0,5,0,51,27,10.2,101,50.49,0,0,1,WI
WA Agar,2021-2021,2.0,2,0,50,41,25.0,42,119.04,0,0,0,AUS
DE Bollinger,2009-2011,39.0,8,2,50,30,8.33,54,92.59,0,0,1,AUS
NE Clarke,1996-1996,5.0,5,0,50,32,10.0,112,44.64,0,0,2,NED
J Lewis,2005-2007,13.0,8,2,50,17,8.33,63,79.36,0,0,0,ENG
RTM Mendis,2021-2022,4.0,4,2,50,26,25.0,50,100.0,0,0,0,SL
AJ Pycroft,1992-1992,8.0,7,1,50,19,8.33,131,38.16,0,0,2,ZIM
IM Stanger,1999-2006,5.0,5,0,50,27,10.0,150,33.33,0,0,0,SCOT
Tanzim Hasan Sakib,2023-2024,7.0,4,2,50,18,25.0,58,86.2,0,0,0,BAN
J Theron,2010-2022,18.0,12,2,50,12,5.0,102,49.01,0,0,4,USA
CT Tremlett,2005-2011,15.0,11,4,50,19,7.14,89,56.17,0,0,1,ENG
Zeeshan Siddiqi,2012-2014,2.0,2,0,50,43,25.0,111,45.04,0,0,0,CAN
ST Banerjee,1991-1992,6.0,5,3,49,25,24.5,42,116.66,0,0,0,IND
DJ Gandhi,1999-2000,3.0,3,0,49,30,16.33,97,50.51,0,0,0,IND
Hasan Mahmud,2021-2023,22.0,14,4,49,15,4.9,105,46.66,0,0,4,BAN
CK Hooper,2007-2010,5.0,5,2,49,27,16.33,60,81.66,0,0,1,CAN
E Otieno,2007-2014,26.0,17,7,49,11,4.9,136,36.02,0,0,5,KENYA
D Ranatunga,1990-1990,4.0,4,0,49,25,12.25,156,31.41,0,0,1,SL
MMC Schewe,1996-1996,5.0,4,1,49,20,16.33,68,72.05,0,0,0,NED
KEA Upashantha,1995-2001,12.0,8,1,49,15,7.0,86,56.97,0,0,0,SL
Arafat Sunny,2014-2015,16.0,11,7,48,15,12.0,92,52.17,0,0,1,BAN
RJ Harris,2009-2012,21.0,13,7,48,21,8.0,48,100.0,0,0,0,AUS
Mohammad Irfan,2010-2016,60.0,33,21,48,12,4.0,149,32.21,0,0,8,PAK
MW Pringle,1992-1994,17.0,8,3,48,13,9.6,56,85.71,0,0,1,SA
PC Strydom,2000-2000,10.0,8,3,48,34,9.6,94,51.06,0,0,1,SA
MG Vandort,2006-2006,1.0,1,0,48,48,48.0,117,41.02,0,0,0,SL
Zafar Iqbal,1995-1995,8.0,6,0,48,18,8.0,62,77.41,0,0,1,PAK
Zulqarnain Haider,2010-2010,4.0,4,2,48,19,24.0,68,70.58,0,0,0,PAK
A Codrington,2003-2007,9.0,8,0,47,16,5.87,92,51.08,0,0,2,CAN
Fayyaz Ahmed,2014-2016,3.0,3,2,47,37,47.0,100,47.0,0,0,0,UAE
Mohammad Hasnain,2019-2023,9.0,5,3,47,28,23.5,28,167.85,0,0,1,PAK
Sarandeep Singh,2002-2003,5.0,4,1,47,19,15.66,73,64.38,0,0,0,IND
BGK Walker,2000-2002,11.0,7,4,47,16,15.66,79,59.49,0,0,0,NZ
ME Sanuth,2020-2020,3.0,2,0,46,40,23.0,39,117.94,0,0,0,OMA
MW Gatting,1993-1993,7.0,6,0,46,30,7.66,87,52.87,0,0,1,ENG
Mohammed Siraj,2019-2023,41.0,14,8,46,9,7.66,100,46.0,0,0,1,IND
KK Nair,2016-2016,2.0,2,0,46,39,23.0,88,52.27,0,0,0,IND
J Nyumbu,2014-2015,19.0,14,4,46,18,4.6,89,51.68,0,0,3,ZIM
PP Ojha,2008-2012,18.0,10,8,46,16,23.0,112,41.07,0,0,0,IND
Skhawat Ali,2008-2014,4.0,4,0,46,28,11.5,109,42.2,0,0,1,HKG
TB Sole,2018-2019,10.0,7,1,46,20,7.66,43,106.97,0,0,0,SCOT
TH David,2023-2023,4.0,4,0,45,35,11.25,53,84.9,0,0,0,AUS
M Karg,2003-2003,3.0,2,0,45,41,22.5,65,69.23,0,0,0,NAM
GR Robertson,1994-1998,13.0,7,4,45,15,15.0,55,81.81,0,0,0,AUS
S Thuraisingam,2003-2008,10.0,9,2,45,13,6.42,108,41.66,0,0,1,CAN
PJ Wiseman,1998-2003,15.0,7,5,45,16,22.5,83,54.21,0,0,0,NZ
PRP Boissevain,2021-2022,6.0,6,0,44,15,7.33,80,55.0,0,0,0,NED
NA de Groot,2003-2003,6.0,6,0,44,17,7.33,127,34.64,0,0,3,CAN
RD McCann,2010-2010,8.0,5,1,44,18,11.0,77,57.14,0,0,1,IRE
RH Poonawala,1994-1994,2.0,2,0,44,22,22.0,56,78.57,0,0,0,UAE
S Sreesanth,2005-2011,53.0,21,10,44,10,4.0,121,36.36,0,0,3,IND
JH Stander,2009-2012,5.0,5,1,44,22,11.0,75,58.66,0,0,1,SCOT
JG Bracewell,1990-1990,5.0,4,1,43,36,14.33,71,60.56,0,0,1,NZ
HR Bryan,1999-1999,15.0,8,2,43,11,7.16,71,60.56,0,0,1,WI
Faisal Hossain,2004-2010,6.0,5,1,43,17,10.75,91,47.25,0,0,1,BAN
KHRK Fernando,2002-2006,7.0,5,3,43,23,21.5,72,59.72,0,0,0,SL
AR Kapoor,1995-2000,17.0,6,0,43,19,7.16,63,68.25,0,0,3,IND
R Klein,2022-2023,13.0,9,2,43,8,6.14,80,53.75,0,0,1,NED
A Mishra,2003-2016,36.0,11,3,43,14,5.37,82,52.43,0,0,2,IND
VM Nyauchi,2022-2023,10.0,6,0,43,26,7.16,52,82.69,0,0,2,ZIM
Salman Faris,2014-2014,3.0,3,0,43,27,14.33,79,54.43,0,0,1,UAE
SJ Swanepoel,2003-2003,5.0,5,0,43,23,8.6,94,45.74,0,0,0,NAM
Anwar Hossain,2002-2002,1.0,1,0,42,42,42.0,107,39.25,0,0,0,BAN
RJ Bailey,1990-1990,1.0,1,0,42,42,42.0,54,77.77,0,0,0,ENG
Fareed Ahmad,2014-2024,17.0,7,4,42,17,14.0,67,62.68,0,0,1,AFG
MJ Fourie,2007-2008,7.0,5,3,42,19,21.0,51,82.35,0,0,0,IRE
Haider Ali,2020-2020,2.0,2,0,42,29,21.0,33,127.27,0,0,0,PAK
JL Pattinson,2011-2015,15.0,8,4,42,13,10.5,80,52.5,0,0,0,AUS
MH Richardson,2002-2002,4.0,4,0,42,26,10.5,97,43.29,0,0,1,NZ
JS Foster,2001-2002,11.0,6,3,41,13,13.66,71,57.74,0,0,0,ENG
SP Heaney,2006-2006,4.0,4,0,41,19,10.25,92,44.56,0,0,0,CAN
PA Hitchcock,2002-2008,14.0,7,3,41,11,10.25,61,67.21,0,0,1,NZ
GI Hume,2022-2024,15.0,6,4,41,15,20.5,74,55.4,0,0,0,IRE
KY Ottley,2021-2024,4.0,4,0,41,24,10.25,73,56.16,0,0,0,WI
WP Saha,2010-2014,9.0,5,2,41,16,13.66,56,73.21,0,0,0,IND
SR Welsh,2006-2008,3.0,3,1,41,32,20.5,78,52.56,0,0,0,CAN
Bilal Asif,2015-2015,3.0,3,0,40,38,13.33,49,81.63,0,0,1,PAK
PC Connell,2008-2010,13.0,5,3,40,22,20.0,73,54.79,0,0,1,IRE
AIC Dodemaide,1992-1993,12.0,8,2,40,15,6.66,61,65.57,0,0,1,AUS
Kaleem Sana,2023-2024,8.0,5,4,40,16,40.0,64,62.5,0,0,1,CAN
Khaliq Dad,2009-2010,6.0,4,1,40,20,13.33,69,57.97,0,0,1,AFG
PS Masvaure,2018-2018,2.0,2,0,40,39,20.0,60,66.66,0,0,0,ZIM
A Nortje,2019-2023,22.0,7,1,40,10,6.66,59,67.79,0,0,1,SA
ML Patel,2004-2006,3.0,3,0,40,25,13.33,95,42.1,0,0,1,KENYA
DJ ter Braak,2018-2018,2.0,2,0,40,39,20.0,94,42.55,0,0,0,NED
Usama Mir,2023-2023,12.0,6,0,40,20,6.66,34,117.64,0,0,2,PAK
BTJ Wheal,2016-2024,14.0,8,3,40,24,8.0,68,58.82,0,0,3,SCOT
GA Briant,1993-1993,5.0,5,2,39,16,13.0,69,56.52,0,0,1,ZIM
SS Das,2001-2002,4.0,4,1,39,30,13.0,77,50.64,0,0,0,IND
KSC de Silva,1996-2000,38.0,19,13,39,13,6.5,92,42.39,0,0,4,SL
MW Forde,2023-2024,4.0,4,1,39,19,13.0,48,81.25,0,0,1,WI
MADI Hemantha,2023-2023,5.0,4,2,39,22,19.5,39,100.0,0,0,1,SL
MB Kruger,2024-2024,1.0,1,0,39,39,39.0,48,81.25,0,0,0,NAM
N Kruger,2011-2011,2.0,2,0,39,34,19.5,75,52.0,0,0,0,NED
GD Lloyd,1996-1998,6.0,5,1,39,22,9.75,80,48.75,0,0,2,ENG
AA Paradkar,2021-2023,4.0,4,1,39,24,13.0,50,78.0,0,0,1,USA
K Pierre,2019-2020,3.0,2,0,39,21,19.5,47,82.97,0,0,0,WI
Ramveer Rai,2004-2004,1.0,1,0,39,39,39.0,124,31.45,0,0,0,UAE
RH Scholte,2002-2003,5.0,5,0,39,12,7.8,135,28.88,0,0,0,NED
Shahidullah,2022-2023,3.0,3,0,39,37,13.0,71,54.92,0,0,0,AFG
A Shahzad,2010-2011,11.0,8,2,39,9,6.5,60,65.0,0,0,0,ENG
JT Ball,2016-2018,18.0,6,2,38,28,9.5,49,77.55,0,0,2,ENG
PP Chawla,2007-2011,25.0,12,5,38,13,5.42,58,65.51,0,0,1,IND
R Chopra,2024-2024,3.0,3,0,38,29,12.66,74,51.35,0,0,0,UAE
JP Greaves,2022-2024,5.0,5,0,38,12,7.6,100,38.0,0,0,0,WI
CKB Kulasekara,2011-2012,4.0,3,0,38,19,12.66,72,52.77,0,0,1,SL
PJ Martin,1995-1998,20.0,13,7,38,6,6.33,53,71.69,0,0,0,ENG
Mohammad Aslam,1996-1996,4.0,4,0,38,23,9.5,73,52.05,0,0,0,UAE
N M'shangwe,2011-2014,6.0,6,1,38,16,7.6,45,84.44,0,0,1,ZIM
Najeeb Amar,2004-2008,4.0,4,1,38,21,12.66,64,59.37,0,0,1,HKG
GH O'Brien,2006-2008,9.0,7,0,38,16,5.42,54,70.37,0,0,2,BER
T Shamsi,2016-2023,51.0,14,10,38,11,9.5,67,56.71,0,0,3,SA
K Sinclair,2022-2023,7.0,3,1,38,25,19.0,64,59.37,0,0,0,WI
Zuhaib Zubair,2024-2024,3.0,3,0,38,31,12.66,39,97.43,0,0,0,UAE
KAR Hodge,2023-2024,4.0,3,0,37,26,12.33,47,78.72,0,0,1,WI
T Lungameni,2022-2024,24.0,10,4,37,12,6.16,69,53.62,0,0,1,NAM
Naveen-ul-Haq,2016-2023,15.0,10,5,37,10,7.4,54,68.51,0,0,2,AFG
LN Rajbanshi,2019-2024,29.0,16,10,37,11,6.16,127,29.13,0,0,2,NEP
JR Ratnayeke,1990-1990,4.0,4,0,37,22,9.25,108,34.25,0,0,0,SL
Saiful Islam,1990-1997,7.0,4,2,37,22,18.5,59,62.71,0,0,0,BAN
Shahid Anwar,1996-1996,1.0,1,0,37,37,37.0,44,84.09,0,0,0,PAK
DJ White,1990-1990,3.0,3,0,37,15,12.33,97,38.14,0,0,0,NZ
Ankur Vasishta,2014-2014,4.0,4,1,36,18,12.0,69,52.17,0,0,0,HKG
DJ Capel,1990-1990,6.0,3,0,36,28,12.0,73,49.31,0,0,0,ENG
PW Gunaratne,2002-2003,23.0,8,3,36,15,7.2,63,57.14,0,0,2,SL
D Madushanka,2023-2024,23.0,11,8,36,19,12.0,79,45.56,0,0,1,SL
G Mylvaganam,1996-1996,3.0,3,0,36,23,12.0,92,39.13,0,0,1,UAE
AR Pitcher,2006-2007,4.0,4,0,36,30,9.0,89,40.44,0,0,0,BER
KR Pushpakumara,1994-1999,31.0,9,5,36,14,9.0,52,69.23,0,0,2,SL
JO Troughton,2003-2003,6.0,5,1,36,20,9.0,76,47.36,0,0,1,ENG
Rehan Ahmed,2023-2023,6.0,4,0,35,15,8.75,46,76.08,0,0,0,ENG
SD Anurasiri,1990-1994,21.0,7,4,35,11,11.66,65,53.84,0,0,0,SL
PKD Chase,2015-2018,25.0,16,6,35,14,3.5,56,62.5,0,0,7,IRE
H Durham,2006-2006,9.0,7,3,35,11,8.75,105,33.33,0,0,0,BER
N Pradeep,2012-2022,49.0,25,17,35,7,4.37,83,42.16,0,0,4,SL
Joginder Sharma,2004-2007,4.0,3,2,35,29,35.0,30,116.66,0,0,0,IND
C McAuslan,2017-2017,2.0,2,0,35,27,17.5,72,48.61,0,0,0,HKG
Nazmul Hossain,2004-2012,38.0,21,13,35,6,4.37,128,27.34,0,0,4,BAN
JO Ngoche,2010-2013,17.0,11,4,35,21,5.0,85,41.17,0,0,4,KENYA
KT Sandher,2006-2007,15.0,10,4,35,12,5.83,107,32.71,0,0,1,CAN
Shahid Saeed,1992-1993,4.0,4,0,35,17,8.75,96,36.45,0,0,0,PAK
AR Tait,1998-1999,5.0,5,2,35,13,11.66,32,109.37,0,0,0,NZ
RJW Topley,2015-2023,29.0,14,11,35,15,11.66,70,50.0,0,0,1,ENG
SD Udal,1994-2005,11.0,7,4,35,11,11.66,46,76.08,0,0,1,ENG
MWA van Nierop,2006-2006,2.0,2,1,35,31,35.0,49,71.42,0,0,0,NED
SM Warnapura,2007-2008,3.0,3,0,35,30,11.66,76,46.05,0,0,1,SL
Zulfiqar Babar,2014-2015,5.0,5,3,35,14,17.5,40,87.5,0,0,0,PAK
RP Alexander,2004-2004,2.0,2,0,34,26,17.0,75,45.33,0,0,0,USA
Arshdeep Singh,2022-2023,6.0,3,1,34,18,17.0,28,121.42,0,0,0,IND
Ata-ur-Rehman,1992-1996,30.0,13,6,34,11,4.85,76,44.73,0,0,2,PAK
Atiq-uz-Zaman,2000-2000,3.0,3,1,34,18,17.0,36,94.44,0,0,0,PAK
ID Austin,1998-1999,9.0,6,1,34,11,6.8,49,69.38,0,0,0,ENG
N Dhamba,2021-2022,10.0,6,2,34,11,8.5,59,57.62,0,0,1,OMA
RMS Eranga,2011-2016,19.0,11,8,34,12,11.33,64,53.12,0,0,1,SL
AS Luseno,2003-2010,10.0,9,7,34,16,17.0,50,68.0,0,0,1,KENYA
M Mbangwa,1996-2002,29.0,13,6,34,11,4.85,56,60.71,0,0,2,ZIM
Mohammad Asif,2005-2010,38.0,16,7,34,6,3.77,100,34.0,0,0,3,PAK
TT Smart,2004-2004,2.0,2,0,34,25,17.0,94,36.17,0,0,0,HKG
T Gibbons,2006-2006,2.0,2,0,33,33,16.5,98,33.67,0,0,1,BER
PARP Perera,2019-2019,2.0,2,0,33,33,16.5,58,56.89,0,0,1,SL
TL Seifert,2019-2019,3.0,2,0,33,22,16.5,27,122.22,0,0,0,NZ
Shamim Hossain,2023-2023,4.0,4,0,33,16,8.25,44,75.0,0,0,0,BAN
S Snater,2018-2022,4.0,4,1,33,17,11.0,27,122.22,0,0,1,NED
AS Wassan,1990-1991,9.0,6,2,33,16,8.25,56,58.92,0,0,1,IND
